Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [1.99257623 5.24187291], Best Fitness = 162.65970485440212, Evaluations = 16
Generation 29: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 480
Generation 30: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 496
Generation 31: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 512
Generation 32: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 528
Generation 33: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 544
Generation 34: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 560
Generation 35: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 576
Generation 36: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 592
Generation 37: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 608
Generation 38: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 624
Generation 39: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 640
Generation 40: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 656
Generation 41: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 672
Generation 42: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 688
Generation 43: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 704
Generation 44: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 720
Generation 45: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 736
Generation 46: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 752
Generation 47: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 768
Generation 48: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 784
Generation 49: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 800
Generation 50: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 816
Generation 51: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 832
Generation 52: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 848
Generation 53: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 864
Generation 54: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 880
Generation 55: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 896
Generation 56: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 912
Generation 57: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 928
Generation 58: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 944
Generation 59: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 960
Generation 60: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 976
Generation 61: Best Solution = [1.28429447 1.63735375], Best Fitness = 0.0953641483195404, Evaluations = 992
Generation 62: Best Solution = [1.28429447 1.63735375], Best Fitness = 0.0953641483195404, Evaluations = 1008
Generation 63: Best Solution = [1.28429447 1.63735375], Best Fitness = 0.0953641483195404, Evaluations = 1024
Generation 64: Best Solution = [1.28429447 1.63735375], Best Fitness = 0.0953641483195404, Evaluations = 1040
Generation 65: Best Solution = [1.28429447 1.63735375], Best Fitness = 0.0953641483195404, Evaluations = 1056
Generation 66: Best Solution = [1.28429447 1.63735375], Best Fitness = 0.0953641483195404, Evaluations = 1072
Generation 67: Best Solution = [1.28429447 1.63735375], Best Fitness = 0.0953641483195404, Evaluations = 1088
Generation 68: Best Solution = [1.28429447 1.63735375], Best Fitness = 0.0953641483195404, Evaluations = 1104
Generation 69: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1120
Generation 70: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1136
Generation 71: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1152
Generation 72: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1168
Generation 73: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1184
Generation 74: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1200
Generation 75: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1216
Generation 76: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1232
Generation 77: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1248
Generation 78: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1264
Generation 79: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1280
Generation 80: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1296
Generation 81: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1312
Generation 82: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1328
Generation 83: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1344
Generation 84: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1360
Generation 85: Best Solution = [1.06227219 1.13394654], Best Fitness = 0.006929640819025778, Evaluations = 1376
Generation 86: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1392
Generation 87: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1408
Generation 88: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1424
Generation 89: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1440
Generation 90: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1456
Generation 91: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1472
Generation 92: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1488
Generation 93: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1504
Generation 94: Best Solution = [1.02403272 1.0458641 ], Best Fitness = 0.0013498040887988721, Evaluations = 1520
Generation 95: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1536
Generation 96: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1552
Generation 97: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1568
Generation 98: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1584
Generation 99: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1600
Generation 100: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1616
Generation 101: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1632
Generation 102: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1648
Generation 103: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1664
Generation 104: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1680
Generation 105: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1696
Generation 106: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1712
Generation 107: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1728
Generation 108: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1744
Generation 109: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1760
Generation 110: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1776
Generation 111: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1792
Generation 112: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1808
Generation 113: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1824
Generation 114: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1840
Generation 115: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1856
Generation 116: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1872
Generation 117: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1888
Generation 118: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1904
Generation 119: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1920
Generation 120: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1936
Generation 121: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1952
Generation 122: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1968
Generation 123: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 1984
Generation 124: Best Solution = [1.0156067  1.03122408], Best Fitness = 0.0002489925790243222, Evaluations = 2000
