Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 179: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1440
Generation 180: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1448
Generation 181: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1456
Generation 182: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1464
Generation 183: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1472
Generation 184: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1480
Generation 185: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1488
Generation 186: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1496
Generation 187: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1504
Generation 188: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1512
Generation 189: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1520
Generation 190: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1528
Generation 191: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1536
Generation 192: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1544
Generation 193: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1552
Generation 194: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1560
Generation 195: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1568
Generation 196: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1576
Generation 197: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1584
Generation 198: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1592
Generation 199: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1600
Generation 200: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1608
Generation 201: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1616
Generation 202: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1624
Generation 203: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1632
Generation 204: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1640
Generation 205: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1648
Generation 206: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1656
Generation 207: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1664
Generation 208: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1672
Generation 209: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1680
Generation 210: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1688
Generation 211: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1696
Generation 212: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1704
Generation 213: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1712
Generation 214: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1720
Generation 215: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1728
Generation 216: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1736
Generation 217: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1744
Generation 218: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1752
Generation 219: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1760
Generation 220: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1768
Generation 221: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1776
Generation 222: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1784
Generation 223: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1792
Generation 224: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1800
Generation 225: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1808
Generation 226: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1816
Generation 227: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1824
Generation 228: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1832
Generation 229: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1840
Generation 230: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1848
